Mageplaza,Mageplaza
All,ทั้งหมด,module,Magento_AdminGws
None,ไม่มี,module,Magento_AdminGws
Add Products,เพิ่มสินค้า,module,Magento_AdvancedCheckout
Quick Checkout,ชำระเงินด่วน,theme,frontend/Magento/luma
Order Status,สถานะคำสั่งซื้อ,theme,frontend/Magento/luma
Manage Addresses,จัดการที่อยู่,theme,frontend/Magento/luma
Store alternative addresses,จัดเก็บที่อยู่อื่น,theme,frontend/Magento/luma
For shipping to multiple family members and friends,สำหรับจัดส่งไปยังสมาชิกในครอบครัวและเพื่อนฝูง,theme,frontend/Magento/luma
Order History,ประวัติคำสั่งซื้อ,theme,frontend/Magento/luma
Backup options,ตัวเลือกการสำรองข้อมูล,lib,lib/web/mage/adminhtml/backup.js
Warning,การเตือน,lib,lib/web/mage/adminhtml/backup.js
Cancel,ยกเลิก,lib,lib/web/mage/adminhtml/backup.js
Ok,ตกลง,lib,lib/web/mage/adminhtml/backup.js
Insert Widget...,แทรก Widget...,lib,lib/web/mage/adminhtml/wysiwyg/widget.js
No records found.,ไม่พบรายการ,lib,lib/web/mage/backend/suggest.js
Recent items,รายการล่าสุด,lib,lib/web/mage/backend/suggest.js
Show all...,แสดงทั้งหมด...,lib,lib/web/mage/backend/suggest.js
Please enter a number greater 0 in this field.,โปรดป้อนตัวเลขมากกว่า 0 ในฟิลด์นี้,lib,lib/web/mage/backend/validation.js
Please select one of each ratings above.,โปรดเลือกการให้คะแนนแต่ละรายการข้างต้น,lib,lib/web/mage/backend/validation.js
Please specify Url.,โปรดระบุ Url,lib,lib/web/mage/backend/validation.js
Method %s does not exist on jQuery.decorate,ไม่มีวิธีการ %s ใน jQuery.decorate,lib,lib/web/mage/decorate.js
Close,ปิด,lib,lib/web/mage/dropdown.js
Next,ต่อไป,lib,lib/web/mage/gallery/gallery.js
Previous,ก่อน,lib,lib/web/mage/gallery/gallery.js
Please wait...,โปรดรอ...,lib,lib/web/mage/loader.js
Loading...,กรุณารอสักครู่...,lib,lib/web/mage/loader.js
All ,ทั้งหมด,lib,lib/web/mage/menu.js
more,มากกว่า,lib,lib/web/mage/menu.js
Translate,แปลความ,lib,lib/web/mage/translate-inline.js
Submit,ตกลง,lib,lib/web/mage/translate-inline.js
Save,บันทึก,lib,lib/web/mage/translate-inline-vde.js
Please enter {0} words or less.,โปรดป้อน {0} คำหรือน้อยกว่า,lib,lib/web/mage/validation.js
Please enter at least {0} words.,โปรดป้อนอย่างน้อย {0} คำ,lib,lib/web/mage/validation.js
Please enter between {0} and {1} words.,โปรดป้อนระหว่าง {0} และ {1} คำ,lib,lib/web/mage/validation.js
Letters or punctuation only please,จดหมายหรือเครื่องหมายวรรคตอนเท่านั้น,lib,lib/web/mage/validation.js
"Letters, numbers, spaces or underscores only please",ตัวอักษร ตัวเลข ช่องว่าง หรือขีดล่างเท่านั้น,lib,lib/web/mage/validation.js
Letters only please,สำหรับจดหมายเท่านั้น,lib,lib/web/mage/validation.js
No white space please,ไม่มีสีขาว,lib,lib/web/mage/validation.js
Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx,รหัสไปรษณีย์ของคุณต้องอยู่ในช่วง 902xx-xxxx ถึง 905-xx-xxxx,lib,lib/web/mage/validation.js
A positive or negative non-decimal number please,หมายเลขที่ไม่ใช่เลขทศนิยมที่เป็นบวกหรือลบ,lib,lib/web/mage/validation.js
The specified vehicle identification number (VIN) is invalid.,หมายเลขประจำตัวรถที่ระบุ (VIN) ไม่ถูกต้อง,lib,lib/web/mage/validation.js
Please enter a correct date,โปรดป้อนวันที่ที่ถูกต้อง,lib,lib/web/mage/validation.js
"Please enter a valid time, between 00:00 and 23:59",โปรดป้อนเวลาที่ถูกต้องระหว่าง 00:00 น. ถึง 23:59 น.,lib,lib/web/mage/validation.js
"Please enter a valid time, between 00:00 am and 12:00 pm",โปรดป้อนเวลาที่ถูกต้องระหว่าง 00:00 น. ถึง 12:00 น.,lib,lib/web/mage/validation.js
Please specify a valid phone number,โปรดระบุหมายเลขโทรศัพท์ที่ถูกต้อง,lib,lib/web/mage/validation.js
Please specify a valid mobile number,โปรดระบุหมายเลขโทรศัพท์มือถือที่ถูกต้อง,lib,lib/web/mage/validation.js
Please enter at least {0} characters,โปรดป้อนอักขระอย่างน้อย {0} ตัว,lib,lib/web/mage/validation.js
Please enter a valid credit card number.,โปรดป้อนหมายเลขบัตรเครดิตที่ถูกต้อง,lib,lib/web/mage/validation.js
Please enter a valid IP v4 address.,โปรดป้อนที่อยู่ IPv4 ที่ถูกต้อง,lib,lib/web/mage/validation.js
Please enter a valid IP v6 address.,โปรดป้อนที่อยู่ IPv6 ที่ถูกต้อง,lib,lib/web/mage/validation.js
Invalid format.,รูปแบบไม่ถูกต้อง.,lib,lib/web/mage/validation.js
HTML tags are not allowed.,ไม่อนุญาตให้ใช้แท็ก HTML,lib,lib/web/mage/validation.js
Please select an option.,โปรดเลือกตัวเลือก,lib,lib/web/mage/validation.js
Empty Value.,ค่าว่างเปล่า,lib,lib/web/mage/validation.js
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-Z), ตัวเลข (0-9) หรือช่องว่างเฉพาะในฟิลด์นี้เท่านั้น",lib,lib/web/mage/validation.js
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-Z), ตัวเลข (0-9) หรือขีดล่าง (_) ในฟิลด์นี้และอักขระตัวแรกควรเป็นตัวอักษร",lib,lib/web/mage/validation.js
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-Z), ตัวเลข (0-9) ช่องว่างและ ""#"" ในฟิลด์นี้",lib,lib/web/mage/validation.js
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,โปรดป้อนหมายเลขโทรศัพท์ที่ถูกต้อง ตัวอย่างเช่น (123) 456-7890 หรือ 123-456-7890,lib,lib/web/mage/validation.js
